county,licnum,sitename,streetaddy,cityaddy,zip
Duval,2614446,Aki 7,"11900 Atlantic Blvd, Suite 221",Jacksonville,32225
Duval,2614841,The Courtyard Cafe,440 W Adams St,Jacksonville,32202
Duval,2614976,Corner Pizza,7185 Crane Ave,Jacksonville,32216
Duval,2615024,Two Cooking Cousins,1807 W 45 St,Jacksonville,32209
Duval,2615106,Royal Buffet,5086 Normandy Blvd,Jacksonville,32205
Duval,2615217,The Stout Snug,1198 Edgewood Ave S,Jacksonville,32205
Duval,2615234,Harvest Cafe Of Jacksonville,11526 Lake Mead Ave #101,Jacksonville,32256
Duval,2615263,Intuition Ale Works,929 W Bay St,Jacksonville,32202
Duval,2615368,Mojos Crab Shack,3111  Edgewood Ave N,Jacksonville,32254
Duval,2615369,China 99,5846 Atlantic Blvd,Jacksonville,32207
Duval,2615436,Graham's Sous Chef Kitchen,623 Beechwood St,Jacksonville,32206
Duval,2615470,Lechonera El Coqui,3620 Blanding Blvd,Jacksonville,32210
Duval,2651341,Taqueria Junior,5150 Normandy Blvd,Jacksonville,32205
Duval,2651603,Blue Crabber,5401 Lenox Ave,Jacksonville,32205
Gilchrist,3100122,Hobos Restaurant,115 NW 1 St,Trenton,32693
Gilchrist,3100127,El Taco Regio,321 N Main St,Trenton,32693
Marion,5201357,Cal's Place,11007 SE 66 Terr,Belleview,34420
Marion,5201954,Little Caesars,10135 US Hwy 441,Belleview,344202850
Marion,5202203,Hunter's Place,3541 NE Jacksonville Road,Ocala,34479
Marion,5202377,Swampys Bar & Grille Dunnellon,19773 E Pennsylvania Ave,Dunnellon,34432
Marion,5202396,Louie's Seafood Steak & Oyster Bar,1900 S Pine Ave,Ocala,34471
Marion,5202726,Steve's Trackside Bar,16485 S US 301,Summerfield,34491
Marion,5202761,Hollywood Stadium 16 Ocala,2801 SW 27 Ave,Ocala,34474
Marion,5250675,Smokey's Real Grill Barbeque,1606 NE 17th Terr,Ocala,34470
St. Johns,6501042,Magnuson Hotel,1111 Ponce De Leon Blvd,Saint Augustine,32084
St. Johns,6501071,Rufino's Pizza,2700 State Road 16 #207,Saint Augustine,32092
St. Johns,6501137,Denny's #8003,2455 State Road 16,Saint Augustine,32084
St. Johns,6501451,Dan Murphy's Irish Pub,"4320 A1A South, Suite 9 & 10",Saint Augustine,32080
St. Johns,6501534,Bai Tong Thai Sushi,"3915 A1A S, Suite 101",Saint Augustine,32080
St. Johns,6501573,Sushi Zento And Grill,1061 A1A Beach Blvd,Saint Augustine,32080
St. Johns,6501901,Aunt Kate'S,612 Euclid Avenue,Saint Augustine,32084
St. Johns,6502040,Mezcal Cantina Authentic Mexican Grill,"880 A1A N, Suite 18B",Ponte Vedra,32082
Suwannee,7100326,China Kitchen,927 Ohio Ave S,Live Oak,32064
Dade,2328530,Cafe Vert,9490 Harding Avenue,Surfside,33154
Broward,1616780,Boston Market #230,1781 E Commercial Blvd,Fort Lauderdale,33334-5737
Palm Beach,6019033,Brooklyns Original Pizza,3025 S Federal Hwy,Delray Beach,33483
Palm Beach,6020289,Mojito,700 S Rosemary Ave #228,West Palm Beach,33401
Hernando,3701156,Golden Corral,5300 Commercial Way,Spring Hill,34606
Hillsborough,3911952,Kfc/Taco Bell,5367 Ehrlich Road,Tampa,33625
Hillsborough,3916377,Jamaica Jamaica Island Cuisine,8206 W Waters Ave #116,Tampa,33615
Hillsborough,3952190,Mexican Food,3121 E. Hillsborough Ave.,Tampa,33610
Pasco,6102536,20Th Hole Bar & Grill,8342 New York Ave,Hudson,34667
Pinellas,6215614,Tikanis,9385 Bay Pines Blvd,St. Petersburg,33708
Lake,4508660,Saffron Indian Restaurant,16744 Cagan Crossings Blvd #104,Clermont,34714
Lake,4508761,The Friar Tuck,"16640 Cagan Crossings Blvd., Suite 302",Clermont,34714
Orange,5810456,Veronica Restaurant,4300 S Orange Blossom Trl,Orlando,32839
Orange,5814039,Sunshine Soul Food Café,2528 W Colonial Dr Suite #B,Orlando,32804
Orange,5814197,Sunshine Seafood Bar & Grill,2528 W Colonial Dr,Orlando,32804
Orange,5854109,Kappu Bistro By Cappuccio Express,5811 W Irlo Bronson Memorial Hwy,Kissimmee,34746
Osceola,5911004,BBQ Tonight,"3260 Vineland Road, Suite 106",Kissimmee,34746
Columbia,2200695,Italian Pizzeria And Restaurant,"1077 W US Hwy 90, Suite 40",Lake City,32055
Duval,2612747,Oceanway Bar And Grille,12905 N Main St,Jacksonville,32218
Duval,2613367,Sydney An Australian Beach Club,205 1 St N,Jacksonville Beach,32250
Marion,5202925,Freddy's Frozen Custard & Steakburger,"3558 SW College Road,, Suite 100",Ocala,34474
St. Johns,6500018,Paulas Beachside Grill,6896 A1A South,Saint Augustine,32080
Bay,1303327,Montego Bay Seafood House & Oyster Bar,473 Richard Jackson Blvd,Panama City Beach,32407
Bay,1305359,The Red Elephant Pizza & Grill,2499 Martin Luther King Jr Blvd,Panama City,32405
Bay,1305368,Shoney'S,"101 Bluefish Dr, Suite 105",Panama City Beach,32413
Bay,1305545,Sandbar Seafood House & Deli,275 S Highway 79,Panama City Beach,32413
Escambia,2700668,El Agave Mexican Restaurant Inc,3811 W Navy Blvd,Pensacola,32507
Escambia,2701871,Wow Wing & Deli,2111 W Fairfield Dr,Pensacola,32505
Escambia,2702491,The Deli Case,"4400 Bayou Blvd, Suite 55",Pensacola,32503
Escambia,2705134,Happy China Restaurant,4810 Mobile Hwy,Pensacola,32506
Escambia,2705616,Sams Fun City & Sams Surf City,6709 Pensacola Blvd,Pensacola,32505
Escambia,2705734,Valley Services Inc  Unit 6020,120 South 'I' St,Pensacola,32501
Escambia,2706049,Castaways Beachside Restaurant & Raw Bar,400 Quietwater Beach Road,Pensacola,32561
Escambia,2706231,Shux Oyster Bar,509 S Palafox Place,Pensacola,32502
Franklin,2901231,Hog Wild Bar B Q,1593 W Highway 98,Carrabelle,32322
Gadsden,3000171,Burger King #06289,1400 W Jefferson St,Quincy,32351
Gadsden,3000334,Aj's Chicken & Things,203 W. Jefferson St.,Quincy,32351
Jackson,4200222,Mcdonald'S,2090 Hwy 71,Marianna,32448
Jackson,4200537,McDonald's #35242,2510 US Hwy 231,Cottondale,32431
Leon,4702169,Zaxby'S,2319 N Monroe St,Tallahassee,32303
